source_url,brand,model,generation,body_type,launch_year,price_min_inr,price_max_inr,price_min_lakh,price_max_lakh,fuel_type,transmission,engine_cc_min,engine_cc_max,power_bhp_min,power_bhp_max,torque_nm_min,torque_nm_max,mileage_kmpl,range_km,battery_kwh,seating_capacity,airbags,safety_rating,boot_space_litres,ground_clearance_mm,drive_type,n_variants,customer_rating,review_count,scraped_at,price_mid_lakh,engine_cc,power_bhp,torque_nm,fuel_primary,transmission_primary,price_segment,mileage_ice
https://www.cardekho.com/porsche/panamera,Porsche,Panamera,current,Coupe,2024.0,17057000.0,23337000.0,170.57,233.37,Petrol,Automatic,2894.0,3996.0,349.0,493.0,500.0,660.0,20.0,,,4.0,10.0,,,,All,2,4.6,9.0,2026-08-30T05:58:35+00:00,201.97,3445.0,421.0,580.0,Petrol,Automatic,Luxury (50L+),20.0
https://www.cardekho.com/porsche/taycan,Porsche,Taycan,current,Sedan,2024.0,17028000.0,26996000.0,170.28,269.96,Electric,Automatic,,,590.0,590.0,,,,694.0,93.4,5.0,8.0,,,127.0,All,3,4.7,7.0,2026-08-30T06:41:25+00:00,220.12,,590.0,,Electric,Automatic,Luxury (50L+),
https://www.cardekho.com/pravaig/defy,Pravaig,DEFY,current,Suv,2022.0,3950000.0,3950000.0,39.5,39.5,Electric,Automatic,,,402.0,402.0,,,,500.0,90.9,4.0,6.0,,680.0,,All,1,4.6,19.0,2026-08-30T06:41:26+00:00,39.5,,402.0,,Electric,Automatic,Premium (25-50L),
https://www.cardekho.com/renault/captur,Renault,Captur,current,Suv,2017.0,950000.0,950000.0,9.5,9.5,,,1461.0,1498.0,104.55,108.49,142.0,240.0,20.37,,,5.0,2.0,,390.0,210.0,Front,0,4.6,146.0,2026-08-30T05:58:43+00:00,9.5,1479.5,106.52,191.0,,,Mass (8-15L),
https://www.cardekho.com/renault/duster,Renault,Duster,current,Suv,2026.0,1049000.0,1869000.0,10.49,18.69,Petrol,"Manual, Automatic",999.0,1333.0,99.0,161.0,166.0,280.0,19.41,,,5.0,6.0,,518.0,212.0,Front,22,4.7,60.0,2026-08-30T05:58:45+00:00,14.59,1166.0,130.0,223.0,Petrol,Both,Mass (8-15L),19.41
https://www.cardekho.com/renault/duster-2019-2022,Renault,Duster 2019-2022,duster-2019-2022,Suv,2020.0,849000.0,849000.0,8.49,8.49,,,1330.0,1498.0,84.0,153.866,142.0,254.0,19.87,,,5.0,2.0,,,205.0,Front,0,4.2,227.0,2026-08-30T05:58:46+00:00,8.49,1414.0,118.933,198.0,,,Mass (8-15L),
https://www.cardekho.com/renault/kiger,Renault,Kiger,current,Suv,2025.0,581000.0,1035000.0,5.81,10.35,Petrol,"Manual, Automatic",999.0,999.0,71.0,71.0,96.0,96.0,20.38,,,5.0,6.0,,336.0,205.0,Front,19,4.5,38.0,2026-08-30T05:58:48+00:00,8.08,999.0,71.0,96.0,Petrol,Both,Mass (8-15L),20.38
https://www.cardekho.com/renault/kiger-2021-2023,Renault,Kiger 2021-2023,kiger-2021-2023,Suv,2021.0,584000.0,584000.0,5.84,5.84,,Manual / Automatic,999.0,999.0,71.01,71.01,96.0,96.0,20.5,,,5.0,2.0,,405.0,205.0,Front,0,4.6,3.0,2026-08-30T05:58:49+00:00,5.84,999.0,71.01,96.0,,Both,Entry (<8L),
https://www.cardekho.com/renault/kiger-2023-2025,Renault,Kiger 2023-2025,kiger-2023-2025,Suv,2023.0,615000.0,615000.0,6.15,6.15,,Manual / Automatic,999.0,1199.0,71.0,98.63,96.0,152.0,,,,5.0,2.0,,405.0,205.0,Front,0,4.2,513.0,2026-08-30T05:58:51+00:00,6.15,1099.0,84.815,124.0,,Both,Entry (<8L),
https://www.cardekho.com/renault/triber,Renault,Triber,current,Muv,2025.0,580875.0,868950.0,5.81,8.69,Petrol,"Manual, Automatic",999.0,999.0,71.01,71.01,96.0,96.0,20.0,,,7.0,6.0,,625.0,,Front,7,4.4,64.0,2026-08-30T05:58:52+00:00,7.25,999.0,71.01,96.0,Petrol,Both,Entry (<8L),20.0
https://www.cardekho.com/renault/triber-2019-2025,Renault,Triber 2019-2025,triber-2019-2025,Muv,2019.0,495000.0,495000.0,4.95,4.95,,"5-speed manual, 5-speed AMT",999.0,999.0,71.01,71.01,96.0,96.0,20.0,,,7.0,,,,182.0,Front,0,4.3,1128.0,2026-08-30T05:58:53+00:00,4.95,999.0,71.01,96.0,,Manual,Entry (<8L),
https://www.cardekho.com/rolls-royce/cullinan,Rolls-Royce,Cullinan,current,Suv,2024.0,105000000.0,122500000.0,1050.0,1225.0,Petrol,Automatic,6750.0,6750.0,563.0,563.0,850.0,850.0,6.6,,,5.0,8.0,,,,All,2,4.7,27.0,2026-08-30T05:58:55+00:00,875.0999999999968,6497.12,563.0,850.0,Petrol,Automatic,Luxury (50L+),6.6
https://www.cardekho.com/rolls-royce/ghost-series-ii,Rolls-Royce,Ghost Series II,current,Luxury,2025.0,89500000.0,105200000.0,895.0,1052.0,Petrol,Automatic,6750.0,6750.0,563.0,563.0,820.0,820.0,,,,5.0,6.0,,490.0,,Rear,3,4.9,9.0,2026-08-30T05:58:56+00:00,875.0999999999968,6497.12,563.0,820.0,Petrol,Automatic,Luxury (50L+),
https://www.cardekho.com/skoda/kodiaq,Skoda,Kodiaq,current,Suv,2025.0,3699000.0,4699000.0,36.99,46.99,Petrol,Automatic,1984.0,1984.0,201.0,201.0,320.0,320.0,14.86,,,5.0,9.0,,427.0,,,3,4.5,13.0,2026-08-30T05:59:00+00:00,41.99,1984.0,201.0,320.0,Petrol,Automatic,Premium (25-50L),14.86
